game_id,season,week,home_team,away_team,home_score,away_score,home_win,home_team_avg_points_for,home_team_avg_points_against,away_team_avg_points_for,away_team_avg_points_against
2022_15_CIN_TB,2022,15,TB,CIN,23,34,0,17.23076923076923,19.53846153846154,25.76923076923077,20.384615384615383
2022_15_DAL_JAX,2022,15,JAX,DAL,40,34,1,22.615384615384617,22.615384615384617,27.692307692307693,17.615384615384617
2022_15_DET_NYJ,2022,15,NYJ,DET,17,20,0,20.307692307692307,18.692307692307693,26.846153846153847,26.692307692307693
2022_15_IND_MIN,2022,15,MIN,IND,39,36,1,24.0,24.076923076923077,16.076923076923077,22.923076923076923
2022_15_KC_HOU,2022,15,HOU,KC,24,30,0,16.23076923076923,24.153846153846153,29.53846153846154,22.923076923076923
2022_15_LA_GB,2022,15,GB,LA,24,12,1,20.23076923076923,23.23076923076923,16.76923076923077,22.76923076923077
2022_15_MIA_BUF,2022,15,BUF,MIA,32,29,1,27.153846153846153,17.0,24.307692307692307,24.0
2022_15_NE_LV,2022,15,LV,NE,30,24,1,23.692307692307693,24.076923076923077,21.23076923076923,18.384615384615383
2022_15_NYG_WAS,2022,15,WAS,NYG,12,20,0,19.46153846153846,19.692307692307693,20.53846153846154,23.076923076923077
2022_15_PHI_CHI,2022,15,CHI,PHI,20,25,0,20.76923076923077,25.615384615384617,29.692307692307693,19.076923076923077
2022_15_PIT_CAR,2022,15,CAR,PIT,16,24,0,20.0,22.307692307692307,17.46153846153846,22.53846153846154
2022_15_SF_SEA,2022,15,SEA,SF,13,21,0,26.307692307692307,25.692307692307693,24.384615384615383,15.153846153846153
2022_15_TEN_LAC,2022,15,LAC,TEN,17,14,1,22.692307692307693,25.076923076923077,18.53846153846154,21.23076923076923
2022_16_ATL_BAL,2022,16,BAL,ATL,17,9,1,21.714285714285715,18.785714285714285,21.857142857142858,23.785714285714285
2022_16_BUF_CHI,2022,16,CHI,BUF,13,35,0,20.714285714285715,25.571428571428573,27.5,17.857142857142858
2022_16_CIN_NE,2022,16,NE,CIN,18,22,0,21.428571428571427,19.214285714285715,26.357142857142858,20.571428571428573
2022_16_DEN_LA,2022,16,LA,DEN,51,14,1,16.428571428571427,22.857142857142858,15.571428571428571,18.071428571428573
2022_16_DET_CAR,2022,16,CAR,DET,37,23,1,19.714285714285715,22.428571428571427,26.357142857142858,26.0
2022_16_GB_MIA,2022,16,MIA,GB,20,26,0,24.642857142857142,24.571428571428573,20.5,22.428571428571427
2022_16_HOU_TEN,2022,16,TEN,HOU,14,19,0,18.214285714285715,20.928571428571427,16.785714285714285,24.571428571428573
2022_16_JAX_NYJ,2022,16,NYJ,JAX,3,19,0,20.071428571428573,18.785714285714285,23.857142857142858,23.428571428571427
2022_16_LAC_IND,2022,16,IND,LAC,3,20,0,17.5,24.071428571428573,22.285714285714285,24.285714285714285
2022_16_LV_PIT,2022,16,PIT,LV,13,10,1,17.928571428571427,22.071428571428573,24.142857142857142,24.071428571428573
