game_id,season,week,home_team,away_team,home_score,away_score,home_win,home_team_avg_points_for,home_team_avg_points_against,away_team_avg_points_for,away_team_avg_points_against,home_recent_form,away_recent_form,home_field_advantage
2025_09_NO_LA,2025,9,LA,NO,34.0,10.0,1,25.0,16.714285714285715,16.0,26.125,25.6,16.2,1
2025_09_SEA_WAS,2025,9,WAS,SEA,14.0,38.0,0,23.375,24.75,27.571428571428573,19.428571428571427,21.4,29.8,1
2025_09_SF_NYG,2025,9,NYG,SF,24.0,34.0,0,21.625,26.875,20.0,20.5,24.2,20.2,1
2025_10_ARI_SEA,2025,10,SEA,ARI,44.0,22.0,1,28.875,18.75,22.5,21.375,28.6,23.6,1
2025_10_ATL_IND,2025,10,IND,ATL,31.0,25.0,1,32.22222222222222,20.11111111111111,17.875,22.25,33.4,20.2,1
2025_10_BAL_MIN,2025,10,MIN,BAL,19.0,27.0,0,22.75,23.25,25.25,27.0,20.2,18.2,1
2025_10_BUF_MIA,2025,10,MIA,BUF,30.0,13.0,1,20.0,27.0,29.375,20.875,19.4,26.6,1
2025_10_CLE_NYJ,2025,10,NYJ,CLE,27.0,20.0,1,21.0,27.625,15.75,23.0,19.8,16.0,1
2025_10_DET_WAS,2025,10,WAS,DET,22.0,44.0,0,22.333333333333332,26.22222222222222,29.875,22.25,18.8,27.2,1
2025_10_JAX_HOU,2025,10,HOU,JAX,36.0,29.0,1,21.0,15.125,22.0,23.0,26.0,21.2,1
2025_10_LA_SF,2025,10,SF,LA,26.0,42.0,0,21.555555555555557,20.88888888888889,26.125,15.875,22.8,27.2,1
2025_10_LV_DEN,2025,10,DEN,LV,10.0,7.0,1,25.0,18.444444444444443,16.5,26.25,25.8,15.8,1
2025_10_NE_TB,2025,10,TB,NE,23.0,28.0,0,24.625,22.25,26.333333333333332,18.77777777777778,25.0,27.0,1
2025_10_NO_CAR,2025,10,CAR,NO,7.0,17.0,0,18.88888888888889,22.77777777777778,15.333333333333334,27.0,19.0,14.4,1
2025_10_NYG_CHI,2025,10,CHI,NYG,24.0,20.0,1,26.875,28.375,21.88888888888889,27.666666666666668,27.8,24.8,1
2025_10_PHI_GB,2025,10,GB,PHI,7.0,10.0,0,25.75,20.75,26.0,23.125,28.4,26.2,1
2025_10_PIT_LAC,2025,10,LAC,PIT,25.0,10.0,1,23.88888888888889,21.444444444444443,25.25,24.375,25.4,26.0,1
2025_11_BAL_CLE,2025,11,CLE,BAL,16.0,23.0,0,16.22222222222222,23.444444444444443,25.444444444444443,26.11111111111111,18.0,19.6,1
2025_11_CAR_ATL,2025,11,ATL,CAR,27.0,30.0,0,18.666666666666668,23.22222222222222,17.7,22.2,18.4,15.0,1
2025_11_CHI_MIN,2025,11,MIN,CHI,17.0,19.0,0,22.333333333333332,23.666666666666668,26.555555555555557,27.444444444444443,19.8,27.6,1
2025_11_CIN_PIT,2025,11,PIT,CIN,34.0,12.0,1,23.555555555555557,24.444444444444443,24.0,33.333333333333336,23.2,31.0,1
2025_11_DAL_LV,2025,11,LV,DAL,16.0,33.0,0,15.444444444444445,24.444444444444443,29.22222222222222,30.77777777777778,12.4,29.8,1
